order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
169,"2013-01-01 03:19:36",2431,2431,49.99
170,"2013-01-01 19:30:14",2426,2426,49.99
171,"2013-01-04 05:06:45",2498,2498,49.99
172,"2013-01-04 16:38:50",2489,2489,49.99
173,"2013-01-05 22:00:37",2504,2504,49.99
174,"2013-01-06 06:50:15",2492,2492,49.99
175,"2013-01-06 12:42:52",2495,2495,49.99
176,"2013-01-07 06:10:03",2549,2549,49.99
177,"2013-01-07 22:47:46",2525,2525,49.99
178,"2013-01-09 22:13:54",2619,2619,49.99
179,"2013-01-11 01:07:54",2576,2576,49.99
180,"2013-01-12 10:10:13",2711,2711,49.99
181,"2013-01-15 17:24:45",2715,2715,49.99
182,"2013-01-15 18:09:56",2621,2621,49.99
183,"2013-01-17 09:44:14",2752,2752,49.99
184,"2013-01-17 23:44:28",2660,2660,49.99
185,"2013-01-20 03:51:37",2790,2790,49.99
186,"2013-01-24 18:47:12",2755,2755,49.99
187,"2013-01-27 09:11:13",2777,2777,49.99
188,"2013-01-27 09:20:14",2789,2789,49.99
189,"2013-01-28 13:17:35",2805,2805,49.99
190,"2013-01-29 11:53:06",2846,2846,59.99
191,"2013-02-02 00:47:16",2961,2961,49.99
192,"2013-02-02 02:10:04",2833,2833,49.99
193,"2013-02-02 19:05:43",2911,2911,49.99
194,"2013-02-04 01:08:05",2978,2978,49.99
195,"2013-02-06 21:47:17",2998,2998,59.99
196,"2013-02-07 10:42:43",2906,2906,49.99
197,"2013-02-08 01:48:37",2913,2913,49.99
198,"2013-02-11 04:31:08",2958,2958,49.99
199,"2013-02-12 05:01:58",3079,3079,49.99
200,"2013-02-12 16:30:22",3014,3014,49.99
201,"2013-02-12 18:57:44",3019,3019,49.99
202,"2013-02-13 07:20:25",2999,2999,49.99
203,"2013-02-14 06:34:01",3073,3073,49.99
204,"2013-02-20 10:32:09",3048,3048,49.99
205,"2013-02-20 10:50:45",3067,3067,49.99
206,"2013-02-20 11:06:12",3284,3284,59.99
207,"2013-02-22 10:03:31",3109,3109,49.99
208,"2013-02-22 21:58:52",3297,3297,49.99
209,"2013-02-26 21:19:54",3199,3199,49.99
210,"2013-02-27 07:11:35",3118,3118,49.99
211,"2013-02-27 20:03:31",3355,3355,49.99
212,"2013-02-28 06:47:26",3178,3178,49.99
213,"2013-02-28 08:34:35",3380,3380,49.99
214,"2013-03-02 07:09:14",3306,3306,49.99
215,"2013-03-02 07:13:15",3396,3396,49.99
216,"2013-03-04 07:16:39",3313,3313,49.99
217,"2013-03-05 08:49:45",3487,3487,49.99
218,"2013-03-05 10:29:03",3373,3373,49.99
219,"2013-03-05 14:12:30",3425,3425,49.99
220,"2013-03-06 10:10:24",3400,3400,49.99
221,"2013-03-06 12:46:28",3316,3316,49.99
222,"2013-03-08 02:42:06",3452,3452,49.99
223,"2013-03-08 17:47:00",3524,3524,49.99
224,"2013-03-09 03:58:45",3517,3517,49.99
225,"2013-03-11 00:23:47",3417,3417,49.99
226,"2013-03-18 02:26:57",3499,3499,59.99
227,"2013-03-19 12:16:03",3607,3607,49.99
228,"2013-03-19 14:49:01",3573,3573,49.99
229,"2013-03-20 12:28:22",3563,3563,59.99
230,"2013-03-21 16:20:07",3585,3585,49.99
231,"2013-03-22 18:12:35",3549,3549,49.99
232,"2013-03-24 14:17:09",3633,3633,49.99
233,"2013-03-26 08:39:53",3632,3632,49.99
234,"2013-03-31 22:52:14",3806,3806,49.99
235,"2013-04-02 17:23:05",3713,3713,49.99
236,"2013-04-04 00:46:38",3769,3769,49.99
237,"2013-04-04 13:41:53",3764,3764,49.99
238,"2013-04-05 11:08:15",3807,3807,49.99
239,"2013-04-06 22:10:41",3757,3757,49.99
240,"2013-04-07 13:38:39",3814,3814,49.99
241,"2013-04-08 17:42:14",3798,3798,59.99
242,"2013-04-08 23:35:49",3856,3856,49.99
243,"2013-04-10 09:56:35",3811,3811,49.99
